name,kana,romaji
浄隆,きよたか,kiyotaka
清次,きよつぐ,kiyotsugu
清敏,きよとし,kiyotoshi
潔成,きよなり,kiyonari
清宣,きよのぶ,kiyonobu
潔範,きよのり,kiyonori
清春,きよはる,kiyoharu
喜代彦,きよひこ,kiyohiko
清仁,きよひと,kiyohito
清寛,きよひろ,kiyohiro
潔史,きよふみ,kiyofumi
清磨,きよまろ,kiyomaro
浄美,きよみ,kiyomi
紀代美,きよみ,kiyomi
希予美,きよみ,kiyomi
清水,きよみ,kiyomi
清水,きよみず,kiyomizu
清恭,きよやす,kiyoyasu
きよら,きよら,kiyora
希星,きらら,kirara
光,きらり,kirari
霧絵,きりえ,kirie
霧香,きりか,kirika
霧子,きりこ,kiriko
季莉子,きりこ,kiriko
紀柳,きりゅう,kiryuu
紀和,きわ,kiwa
記和子,きわこ,kiwako
欣,きん,kin
勤一,きんいち,kinichi
謹子,きんこ,kinko
欣幸,きんこう,kinkou
金七,きんしち,kinshichi
欽治,きんじ,kinji
金重,きんじゅう,kinjuu
金蔵,きんぞう,kinzou
錦之介,きんのすけ,kinnosuke
欣弥,きんや,kinya
義一,ぎいち,giichi
魏書,ぎしょ,gisho
義太郎,ぎたろう,gitarou
暁貨,ぎょうか,gyouka
義揚,ぎよう,giyou
銀作,ぎんさく,ginsaku
銀造,ぎんぞう,ginzou
空吾,くうご,kuugo
茎子,くきこ,kukiko
久若,くじゃく,kujaku
楠木,くすのき,kusunoki
国,くに,kuni
邦晶,くにあき,kuniaki
邦章,くにあき,kuniaki
邦江,くにえ,kunie
くに江,くにえ,kunie
邦生,くにお,kunio
州雄,くにお,kunio
國臣,くにおみ,kuniomi
邦一,くにかず,kunikazu
晋子,くにこ,kuniko
久二子,くにこ,kuniko
国繁,くにしげ,kunishige
國寶,くにたか,kunitaka
邦胤,くにたね,kunitane
邦人,くにと,kunito
国仲,くになか,kuninaka
圀彦,くにひこ,kunihiko
公人,くにひと,kunihito
邦宏,くにひろ,kunihiro
州裕,くにひろ,kunihiro
邦麿,くにまろ,kunimaro
国盛,くにもり,kunimori
圀順,くにゆき,kuniyuki
都代,くによ,kuniyo
国良,くによし,kuniyoshi
久満,くま,kuma
熊太郎,くまたろう,kumatarou
公美,くみ,kumi
久見,くみ,kumi
久美恵,くみえ,kumie
久美歌,くみか,kumika
紅美子,くみこ,kumiko
クミコ,くみこ,kumiko
久巳子,くみこ,kumiko
久米代,くめよ,kumeyo
くら子,くらこ,kurako
倉之介,くらのすけ,kuranosuke
玖良々,くらら,kurara
久里子,くりこ,kuriko
栗八女,くりやめ,kuriyame
来美,くるみ,kurumi
来瞳,くるめ,kurume
紅葉,くれは,kureha
鍬吉,くわきち,kuwakichi
薫臣,くんじ,kunji
紅蓮,ぐれん,guren
景,けい,kei
ケイ,けい,kei
馨,けい,kei
勁一,けいいち,keiichi
圭一,けいいち,keiichi
系一郎,けいいちろう,keiichirou
慶益,けいえき,keieki
慧歌,けいか,keika
敬吉,けいきち,keikichi
景湖,けいこ,keiko
榮子,けいこ,keiko
慶衣子,けいこ,keiko
けい子,けいこ,keiko
契子,けいこ,keiko
桂五,けいご,keigo
啓伍,けいご,keigo
慶三郎,けいざぶろう,keizaburou
敬止,けいし,keishi
啓示,けいし,keishi
啓四郎,けいしろう,keishirou
慶治,けいじ,keiji
景二,けいじ,keiji
京二,けいじ,keiji
圭治,けいじ,keiji
敬樹,けいじゅ,keiju
慶治郎,けいじろう,keijirou
恵佑,けいすけ,keisuke
景輔,けいすけ,keisuke
啓介,けいすけ,keisuke
圭佑,けいすけ,keisuke
経節,けいせつ,keisetsu
圭蔵,けいぞう,keizou
景太,けいた,keita
慶太郎,けいたろう,keitarou
景太郎,けいたろう,keitarou
圭斗,けいと,keito
恵那,けいな,keina
敬之助,けいのすけ,keinosuke
恵雄,けいゆう,keiyuu
今朝枝,けさえ,kesae
ケサ子,けさこ,kesako
毛牧,けまき,kemaki
けん,けん,ken
賢市,けんいち,kenichi
堅一,けんいち,kenichi
賢一郎,けんいちろう,kenichirou
健一朗,けんいちろう,kenichirou
賢孝,けんこう,kenkou
研五,けんご,kengo
研策,けんさく,kensaku
賢史,けんし,kenshi
健生,けんしょう,kenshou
謙信,けんしん,kenshin
研爾,けんじ,kenji
宣夫,けんじ,kenji
賢至,けんじ,kenji
健次,けんじ,kenji
憲示,けんじ,kenji
剣士,けんじ,kenji
憲樹,けんじゅ,kenju
賢二郎,けんじろう,kenjirou
健助,けんすけ,kensuke
研輔,けんすけ,kensuke
憲生,けんせい,kensei
顕三,けんぞう,kenzou
建造,けんぞう,kenzou
拳太,けんた,kenta
賢太朗,けんたろう,kentarou
兼太郎,けんたろう,kentarou
県戸,けんと,kento
賢八,けんぱち,kenpachi
健弥,けんや,kenya
謙良,けんりょう,kenryou
月舟,げっしゅう,gesshuu
玄以,げんい,geni
源延,げんえん,genen
元生,げんき,genki
源五右衛門,げんごえもん,gengoemon
源清,げんしん,genshin
彦次,げんじ,genji
現淳,げんじゅん,genjun
元政,げんせい,gensei
元太,げんた,genta
玄智,げんち,genchi
厳復,げんふく,genfuku
元哉,げんや,genya
湖衣,こい,koi
鯉之助,こいのすけ,koinosuke
胛,こう,kou
昂,こう,kou
恒,こう,kou
向,こう,kou
紘一,こういち,kouichi
祐一,こういち,kouichi
好市,こういち,kouichi
巧一,こういち,kouichi
隆一,こういち,kouichi
孝一郎,こういちろう,kouichirou
浩一郎,こういちろう,kouichirou
宏一朗,こういちろう,kouichirou
幸衛,こうえい,kouei
黄華,こうか,kouka
孔毅,こうき,kouki
幸妃,こうき,kouki
幸輝,こうき,kouki
孝希,こうき,kouki
皓希,こうき,kouki
滉基,こうき,kouki
晃生,こうき,kouki
浩吉,こうきち,koukichi
幸月,こうげつ,kougetsu
高子,こうこ,kouko
こうこ,こうこ,kouko
幸子,こうこ,kouko
幸吾,こうご,kougo
広作,こうさく,kousaku
考三郎,こうざぶろう,kouzaburou
高志,こうし,koushi
興志,こうし,koushi
光紹,こうしょう,koushou
公志郎,こうしろう,koushirou
孔氏,こうじ,kouji
光史,こうじ,kouji
浩爾,こうじ,kouji
弘司,こうじ,kouji
皇治,こうじ,kouji
鴻二,こうじ,kouji
耕嗣,こうじ,kouji
貢司,こうじ,kouji
功治,こうじ,kouji
興史,こうじ,kouji
光二,こうじ,kouji
広二,こうじ,kouji
孝志,こうじ,kouji
宏次,こうじ,kouji
康順,こうじゅん,koujun
考二郎,こうじろう,koujirou
宏次朗,こうじろう,koujirou
康佑,こうすけ,kousuke
耕輔,こうすけ,kousuke
孝介,こうすけ,kousuke
宏介,こうすけ,kousuke
滉介,こうすけ,kousuke
廣成,こうせい,kousei
煌星,こうせい,kousei
光宗,こうそう,kousou
弘造,こうぞう,kouzou
耕三,こうぞう,kouzou
孝三,こうぞう,kouzou
庫三,こうぞう,kouzou
功太,こうた,kouta
凰汰,こうた,kouta
康太,こうた,kouta
弘太郎,こうたろう,koutarou
光太郎,こうたろう,koutarou
光太朗,こうたろう,koutarou
浩大,こうだい,koudai
